url,country,page_type,score
https://www.lg.com/au/lifestyle-screens/stanbyme/32lx6bdga/,Australia,제품 상세 (PDP),85
https://www.lg.com/au/tv-soundbars/micro-rgb-evo/75mrgb96bsa/,Australia,제품 상세 (PDP),81
https://www.lg.com/au/tv-soundbars/micro-rgb-evo/86mrgb96bsa/,Australia,제품 상세 (PDP),81
https://www.lg.com/au/tv-soundbars/nano-4k-uhd-tv/98nu855bpsb/,Australia,제품 상세 (PDP),81
https://www.lg.com/au/tv-soundbars/oled-evo-tv/oled77w6psa/,Australia,제품 상세 (PDP),81
https://www.lg.com/au/tv-soundbars/oled-evo-tv/oled83w6psa/,Australia,제품 상세 (PDP),81
https://www.lg.com/au/tv-soundbars/smart-tvs/32lb655bpsa/,Australia,제품 상세 (PDP),85
https://www.lg.com/au/tv-soundbars/65lx7bpsa/,Australia,제품 상세 (PDP),81
https://www.lg.com/au/tv-soundbars/fhd/27lx5qkna/,Australia,제품 상세 (PDP),85
https://www.lg.com/au/fridge-freezers/bottom-mount/gb-455ble/,Australia,제품 상세 (PDP),88
https://www.lg.com/au/fridge-freezers/bottom-mount/gb-455btl/,Australia,제품 상세 (PDP),88
https://www.lg.com/au/fridge-freezers/bottom-mount/gb-455mbl/,Australia,제품 상세 (PDP),88
https://www.lg.com/au/fridge-freezers/bottom-mount/gb-455pl/,Australia,제품 상세 (PDP),88
https://www.lg.com/au/fridge-freezers/bottom-mount/gb-455uple/,Australia,제품 상세 (PDP),88
https://www.lg.com/au/fridge-freezers/bottom-mount/gb-455wl/,Australia,제품 상세 (PDP),88
https://www.lg.com/au/fridge-freezers/bottom-mount/gb-b300mwh/,Australia,제품 상세 (PDP),84
https://www.lg.com/au/fridge-freezers/bottom-mount/gb-b300pl/,Australia,제품 상세 (PDP),85
https://www.lg.com/au/fridge-freezers/bottom-mount/gb-v300mbl/,Australia,제품 상세 (PDP),85
https://www.lg.com/au/fridge-freezers/bottom-mount/gb-w300mbl/,Australia,제품 상세 (PDP),85
https://www.lg.com/au/fridge-freezers/bottom-mount/gb-w455mbl/,Australia,제품 상세 (PDP),88
https://www.lg.com/au/fridge-freezers/freezers/gp-f324mbl/,Australia,제품 상세 (PDP),85
https://www.lg.com/au/fridge-freezers/freezers/gp-f324pl/,Australia,제품 상세 (PDP),85
https://www.lg.com/au/fridge-freezers/french-door/gf-b505bb/,Australia,제품 상세 (PDP),85
https://www.lg.com/au/fridge-freezers/french-door/gf-b505mbl/,Australia,제품 상세 (PDP),85
https://www.lg.com/au/fridge-freezers/french-door/gf-b505pl/,Australia,제품 상세 (PDP),85
https://www.lg.com/au/fridge-freezers/french-door/gf-b530bl/,Australia,제품 상세 (PDP),85
https://www.lg.com/au/fridge-freezers/french-door/gf-b589ple/,Australia,제품 상세 (PDP),85
https://www.lg.com/au/fridge-freezers/french-door/gf-b700pl/,Australia,제품 상세 (PDP),88
https://www.lg.com/au/fridge-freezers/french-door/gf-b705mbl/,Australia,제품 상세 (PDP),88
https://www.lg.com/au/fridge-freezers/french-door/gf-d700mblc/,Australia,제품 상세 (PDP),85
https://www.lg.com/au/fridge-freezers/french-door/gf-l500mbl/,Australia,제품 상세 (PDP),84
https://www.lg.com/au/fridge-freezers/french-door/gf-l500mwh/,Australia,제품 상세 (PDP),84
https://www.lg.com/au/fridge-freezers/french-door/gf-l500pl/,Australia,제품 상세 (PDP),85
https://www.lg.com/au/fridge-freezers/french-door/gf-l700mbl/,Australia,제품 상세 (PDP),84
