url,country,page_type,score
https://www.lg.com/au/about-lg/press-and-media/,Australia,Global Newsroom,79
https://www.lg.com/au/about-lg/,Australia,Global Newsroom,79
https://www.lg.com/au/about-lg/our-brand/,Australia,Microsite,73
https://www.lg.com/au/about-lg/press-and-media/lg-electronics-australia-ushers-in-new-era-of-entertainment/,Australia,Global Newsroom,79
https://www.lg.com/au/about-lg/press-and-media/lg-australia-launches-2026-tv---sound-suite-lineup/,Australia,Global Newsroom,79
https://www.lg.com/au/about-lg/press-and-media/lg-electronics-gathers-experts-to-unpack-the-modern-media-dilemm/,Australia,Global Newsroom,76
https://www.lg.com/au/about-lg/press-and-media/lg-electronics-announces--designed-for-lg-gaming-portal--certifi/,Australia,Global Newsroom,72
https://www.lg.com/au/about-lg/press-and-media/lg-electronics-showcases-affectionate-intelligence-in-action-at-/,Australia,Global Newsroom,72
https://www.lg.com/au/about-lg/press-and-media/lg-electronics-unveils-its-approach-to--ai-in-action-/,Australia,Global Newsroom,72
https://www.lg.com/au/about-lg/press-and-media/lg-unveils-the-wallpaper-tv--the-world-s-thinnest--true-wireless/,Australia,Global Newsroom,72
https://www.lg.com/au/about-lg/press-and-media/lg-electronics-presents-lg-cloid-home-robot-to-demonstrate--zero/,Australia,Global Newsroom,72
https://www.lg.com/au/about-lg/press-and-media/lg-sound-suite--the-world-s-first-soundbar-audio-system-powered-/,Australia,Global Newsroom,72
https://www.lg.com/au/about-lg/press-and-media/lg-micro-rgb-evo--lg-s-most-advanced-lcd-tv-powered-by-the-preci/,Australia,Global Newsroom,72
https://www.lg.com/au/about-lg/press-and-media/lg-electronics-introduces-2026-lg-gram-lineup-elevated-by-aeromi/,Australia,Global Newsroom,72
https://www.lg.com/au/about-lg/press-and-media/lg-electronics-expands-xboom-by-will-i-am-lineup-for-every-lifes/,Australia,Global Newsroom,72
https://www.lg.com/au/about-lg/press-and-media/lg-unveils-ultragear-evo--redefining-5k-gaming-with-world-s-firs/,Australia,Global Newsroom,72
https://www.lg.com/au/about-lg/press-and-media/lg-electronics-expands-its-lifestyle-screen-lineup-with-the-new-/,Australia,Global Newsroom,72
https://www.lg.com/au/about-lg/press-and-media/lg-nova-unveils-next-generation-of-ai-first-ventures-at-ces-2026/,Australia,Global Newsroom,72
https://www.lg.com/au/about-lg/press-and-media/lg-to-unveil-home-robot-at-ces-2026--sharing-vision-for-the--zer/,Australia,Global Newsroom,72
https://www.lg.com/au/about-lg/press-and-media/lg-signature-evolves-with-ai--redefining-premium-home-appliances/,Australia,Global Newsroom,76
https://www.lg.com/au/about-lg/press-and-media/lg-to-showcase-next-generation-mobility-technology-powered-by-ge/,Australia,Global Newsroom,79
https://www.lg.com/au/about-lg/press-and-media/lg-to-showcase--innovation-in-tune-with-you--at-ces-2026-/,Australia,Global Newsroom,72
https://www.lg.com/au/about-lg/press-and-media/lg-honoured-with-multiple-ces-2026-innovation-awards/,Australia,Global Newsroom,79
https://www.lg.com/au/about-lg/press-and-media/lg-debuts-its-latest-cordzero--handstick-vaccuum-lineup-designed/,Australia,Global Newsroom,72
https://www.lg.com/au/about-lg/press-and-media/lg-electronics-australia-named-choice--best-brand-across-multipl/,Australia,Global Newsroom,76
https://www.lg.com/au/about-lg/press-and-media/lg-electronics-australia-wins-at-finder-awards-2025/,Australia,Global Newsroom,79
https://www.lg.com/au/about-lg/press-and-media/lg-electronics-australia-showcases-advanced-medical-display-solu/,Australia,Global Newsroom,76
https://www.lg.com/au/about-lg/press-and-media/lg-electronics-australia-elevates-the-guest-experience-at-novaca/,Australia,Global Newsroom,79
https://www.lg.com/au/about-lg/press-and-media/lg-worlds-first-transparent-true-wireless/,Australia,Global Newsroom,76
https://www.lg.com/au/about-lg/press-and-media/lg-launches-truesteam--styler-with-built-in-handysteamer--to-rev/,Australia,Global Newsroom,76
https://www.lg.com/au/about-lg/press-and-media/lg-reaffirms-universal-value-of-life-through-ai-powered-brand-ca/,Australia,Global Newsroom,79
https://www.lg.com/au/about-lg/press-and-media/lg-presents-new-space-and-energy-efficient-refrigerator-lineup-a/,Australia,Global Newsroom,79
https://www.lg.com/au/about-lg/press-and-media/lg-unveils-ai-driven-energy-efficient-laundry-solutions-at-ifa-2/,Australia,Global Newsroom,79
https://www.lg.com/au/about-lg/press-and-media/lg-electronics-australia-launches-stanbyme-2-the-next-evolution-/,Australia,Global Newsroom,79
https://www.lg.com/au/about-lg/press-and-media/lg-to-introduce-advanced-ai-powered-living-with-lg-ai-home-at-if/,Australia,Global Newsroom,79
https://www.lg.com/au/about-lg/press-and-media/lg-launches-cinebeam-s-redefining-portability-and-transforming-t/,Australia,Global Newsroom,79
https://www.lg.com/au/about-lg/press-and-media/lg-unveils-australias-largest-washing-machine-new-washtower-line/,Australia,Global Newsroom,76
https://www.lg.com/au/about-lg/press-and-media/lg-presents-a-taste-of-the-good-life-with-masterchef-australia-/,Australia,Global Newsroom,79
https://www.lg.com/au/about-lg/press-and-media/lg-redefines-portability-and-performance-with-2025-ai-gram-laptop/,Australia,Global Newsroom,83
https://www.lg.com/au/about-lg/press-and-media/lg-electronics-australia-unveils-latest-audio-products-in-collaboration-with-music-visionary-will-i-am/,Australia,Global Newsroom,83
https://www.lg.com/au/about-lg/press-and-media/northern-rivers-startup-owls-eat-rats-named-winner-of-taronga-2025-hatch-accelerator-program/,Australia,Global Newsroom,83
https://www.lg.com/au/about-lg/press-and-media/lg-launches--radio-optimism--campaign-to-spread--life-s-good--th/,Australia,Global Newsroom,76
https://www.lg.com/au/about-lg/press-and-media/LG-strengthens-EdTech-leadership-with-expanded-LG-CreateBoard-lineup/,Australia,Global Newsroom,83
https://www.lg.com/au/about-lg/press-and-media/lg-launches-2025-qned-evo--new-premium-lcd-tvs-with-enhanced-visuals-and-ai-personalisation/,Australia,Global Newsroom,83
https://www.lg.com/au/about-lg/press-and-media/new-lg-smart-monitor-swing-boosts-productivity-with-flexible-stand-and-touchscreen/,Australia,Global Newsroom,83
https://www.lg.com/au/about-lg/press-and-media/LG-showcased-digital-transformation-innovations-at-food-and-display-technology-expo-2025/,Australia,Global Newsroom,83
https://www.lg.com/au/about-lg/press-and-media/lg-oled-x-steven-harrington-at-frieze/,Australia,Global Newsroom,79
https://www.lg.com/au/about-lg/press-and-media/lg-and-masterchef-australia-cook-up-a-partnership-to-inspire-cul/,Australia,Global Newsroom,72
https://www.lg.com/au/about-lg/press-and-media/lg-brings-xbox-cloud-gaming--beta--experience-directly-to-lg-sma/,Australia,Global Newsroom,79
https://www.lg.com/au/about-lg/press-and-media/lg-lauded-for-latest-design-innovations-at-the-2025-red-dot-desi/,Australia,Global Newsroom,79
https://www.lg.com/au/about-lg/press-and-media/lg-introduces-its-quietest-dishwasher-yet-in-australia/,Australia,Global Newsroom,79
https://www.lg.com/au/about-lg/press-and-media/lg-supplies-commercial-display-solutions-to-boston-red-sox-ballp/,Australia,Global Newsroom,76
https://www.lg.com/au/about-lg/press-and-media/lg-electronics-australia-elevates-home-entertainment-with-new-20/,Australia,Global Newsroom,76
https://www.lg.com/au/about-lg/press-and-media/lg-acquires-athom-to-advance-ai-enabled-intelligent-space-business/,Australia,Global Newsroom,79
https://www.lg.com/au/about-lg/press-and-media/lg-accelerates-smart-factory-solutions-business-integrating-ai-with-66-year-manufacturing-expertise/,Australia,Global Newsroom,79
https://www.lg.com/au/about-lg/press-and-media/lg-releases-third-quarter-2024-financial-results/,Australia,Global Newsroom,76
